날짜,실거래가(평균),나스닥,다우존스,코스피,지가변동률,동행지수,소비자물가지수,생산자물가,거래량
2007년 04월 11일,421.8,2459.3,12484.62,1459.53,0.347,82.2,77.068,87.57,148
2007년 04월 12일,421.8,2480.3,12552.96,1463.75,0.347,82.2,77.068,87.57,148
2007년 04월 13일,421.8,2491.9,12612.13,1483.41,0.347,82.2,77.068,87.57,148
2007년 04월 16일,421.8,2518.3,12720.46,1482.04,0.347,82.2,77.068,87.57,148
2007년 04월 17일,421.8,2516.9,12773.04,1484.15,0.347,82.2,77.068,87.57,148
2007년 04월 18일,421.8,2510.5,12803.84,1501.06,0.347,82.2,77.068,87.57,148
2007년 04월 19일,421.8,2505.4,12808.63,1499.16,0.347,82.2,77.068,87.57,148
2007년 04월 20일,421.8,2526.4,12961.98,1513.42,0.347,82.2,77.068,87.57,148
2007년 04월 23일,421.8,2523.7,12919.4,1525.61,0.347,82.2,77.068,87.57,148
2007년 04월 24일,421.8,2524.5,12953.94,1520.78,0.347,82.2,77.068,87.57,148
2007년 04월 25일,421.8,2547.9,13089.89,1532.04,0.347,82.2,77.068,87.57,148
2007년 04월 26일,421.8,2554.5,13105.5,1528.66,0.347,82.2,77.068,87.57,148
2007년 04월 27일,421.8,2557.2,13120.94,1534.58,0.347,82.2,77.068,87.57,148
2007년 04월 30일,421.8,2525.1,13062.91,1513.66,0.347,82.2,77.068,87.57,148
2007년 05월 01일,465,2531.5,13136.14,1533.08,0.342,82.6,77.141,88.06,116
2007년 05월 02일,465,2557.8,13211.88,1544.35,0.342,82.6,77.141,88.06,116
2007년 05월 03일,465,2565.5,13241.38,1556.71,0.342,82.6,77.141,88.06,116
2007년 05월 04일,465,2572.1,13264.62,1545.55,0.342,82.6,77.141,88.06,116
2007년 05월 07일,465,2570.9,13312.97,1553.13,0.342,82.6,77.141,88.06,116
2007년 05월 08일,465,2571.8,13309.07,1542.52,0.342,82.6,77.141,88.06,116
2007년 05월 09일,465,2576.3,13362.87,1542.24,0.342,82.6,77.141,88.06,116
2007년 05월 10일,465,2533.7,13215.13,1553.3,0.342,82.6,77.141,88.06,116
2007년 05월 11일,465,2562.2,13326.22,1559.86,0.342,82.6,77.141,88.06,116
2007년 05월 14일,465,2546.4,13346.78,1567.74,0.342,82.6,77.141,88.06,116
2007년 05월 15일,465,2525.3,13383.84,1584.46,0.342,82.6,77.141,88.06,116
2007년 05월 16일,465,2547.4,13487.53,1582.65,0.342,82.6,77.141,88.06,116
2007년 05월 17일,465,2539.4,13476.73,1593.42,0.342,82.6,77.141,88.06,116
2007년 05월 18일,465,2558.4,13556.53,1599.68,0.342,82.6,77.141,88.06,116
2007년 05월 21일,465,2578.8,13542.88,1603.56,0.342,82.6,77.141,88.06,116
2007년 05월 22일,465,2588,13539.95,1605.77,0.342,82.6,77.141,88.06,116
2007년 05월 23일,465,2577.1,13525.65,1589.37,0.342,82.6,77.141,88.06,116
2007년 05월 24일,465,2537.9,13441.13,1600.6,0.342,82.6,77.141,88.06,116
2007년 05월 25일,465,2557.2,13507.28,1615.58,0.342,82.6,77.141,88.06,116
2007년 05월 29일,465,2572.1,13521.34,1612.25,0.342,82.6,77.141,88.06,116
2007년 05월 30일,465,2592.6,13633.08,1628.2,0.342,82.6,77.141,88.06,116
2007년 05월 31일,465,2604.5,13627.64,1642.88,0.342,82.6,77.141,88.06,116
2007년 06월 01일,486,2613.9,13668.11,1646.59,0.378,83.1,77.141,88.24,166
2007년 06월 04일,486,2618.3,13676.32,1644.56,0.378,83.1,77.141,88.24,166
2007년 06월 05일,486,2611.2,13595.46,1657.91,0.378,83.1,77.141,88.24,166
2007년 06월 06일,486,2587.2,13465.67,1661.8,0.378,83.1,77.141,88.24,166
2007년 06월 07일,486,2541.4,13266.73,1662.72,0.378,83.1,77.141,88.24,166
2007년 06월 08일,486,2573.5,13424.39,1700.91,0.378,83.1,77.141,88.24,166
2007년 06월 11일,486,2572.1,13424.96,1716.24,0.378,83.1,77.141,88.24,166
2007년 06월 12일,486,2549.8,13295.01,1737.59,0.378,83.1,77.141,88.24,166
2007년 06월 13일,486,2582.3,13482.35,1742.19,0.378,83.1,77.141,88.24,166
2007년 06월 14일,486,2599.4,13553.72,1753.04,0.378,83.1,77.141,88.24,166
2007년 06월 15일,486,2626.7,13639.48,1727.28,0.378,83.1,77.141,88.24,166
2007년 06월 18일,486,2626.6,13612.98,1716.56,0.378,83.1,77.141,88.24,166
2007년 06월 19일,486,2626.8,13635.42,1729.88,0.378,83.1,77.141,88.24,166
2007년 06월 20일,486,2600,13489.42,1721.99,0.378,83.1,77.141,88.24,166
2007년 06월 21일,486,2617,13545.84,1769.18,0.378,83.1,77.141,88.24,166
2007년 06월 22일,486,2589,13360.26,1772.26,0.378,83.1,77.141,88.24,166
2007년 06월 25일,486,2577.1,13352.05,1806.88,0.378,83.1,77.141,88.24,166
2007년 06월 26일,486,2574.2,13337.66,1807.85,0.378,83.1,77.141,88.24,166
2007년 06월 27일,486,2605.4,13427.73,1783.79,0.378,83.1,77.141,88.24,166
2007년 06월 28일,486,2608.4,13422.28,1794.24,0.378,83.1,77.141,88.24,166
2007년 06월 29일,486,2603.2,13408.62,1770.98,0.378,83.1,77.141,88.24,166
2007년 07월 02일,454.8,2632.3,13535.43,1757.73,0.405,83.4,77.362,88.35,186
2007년 07월 03일,454.8,2644.9,13577.3,1749.55,0.405,83.4,77.362,88.35,186
