날짜,실거래가(평균),나스닥,다우존스,코스피,지가변동률,동행지수,소비자물가지수,생산자물가,거래량
2009년 11월 17일,607.2,2203.8,10437.42,1585.98,0.242,89.4,83.262,95.81,102
2009년 11월 18일,607.2,2193.1,10426.31,1603.97,0.242,89.4,83.262,95.81,102
2009년 11월 19일,607.2,2156.8,10332.44,1620.54,0.242,89.4,83.262,95.81,102
2009년 11월 20일,607.2,2146,10318.16,1620.6,0.242,89.4,83.262,95.81,102
2009년 11월 23일,607.2,2176,10450.95,1619.05,0.242,89.4,83.262,95.81,102
2009년 11월 24일,607.2,2169.2,10433.71,1606.42,0.242,89.4,83.262,95.81,102
2009년 11월 25일,607.2,2176.1,10464.4,1611.88,0.242,89.4,83.262,95.81,102
2009년 11월 27일,607.2,2138.4,10309.92,1599.52,0.242,89.4,83.262,95.81,102
2009년 11월 30일,607.2,2144.6,10344.84,1524.5,0.242,89.4,83.262,95.81,102
2009년 12월 01일,658.9,2175.8,10471.58,1555.6,0.269,89.7,83.557,96.29,125
2009년 12월 02일,658.9,2185,10452.68,1569.72,0.269,89.7,83.557,96.29,125
2009년 12월 03일,658.9,2173.1,10366.15,1591.63,0.269,89.7,83.557,96.29,125
2009년 12월 04일,658.9,2194.4,10388.9,1615,0.269,89.7,83.557,96.29,125
2009년 12월 07일,658.9,2189.6,10390.11,1624.76,0.269,89.7,83.557,96.29,125
2009년 12월 08일,658.9,2173,10285.97,1632.65,0.269,89.7,83.557,96.29,125
2009년 12월 09일,658.9,2183.7,10337.05,1627.78,0.269,89.7,83.557,96.29,125
2009년 12월 10일,658.9,2190.9,10405.83,1634.17,0.269,89.7,83.557,96.29,125
2009년 12월 11일,658.9,2190.3,10471.5,1652.73,0.269,89.7,83.557,96.29,125
2009년 12월 14일,658.9,2212.1,10501.05,1656.9,0.269,89.7,83.557,96.29,125
2009년 12월 15일,658.9,2201.1,10452,1664.77,0.269,89.7,83.557,96.29,125
2009년 12월 16일,658.9,2206.9,10441.12,1665.85,0.269,89.7,83.557,96.29,125
2009년 12월 17일,658.9,2180.1,10308.26,1664.24,0.269,89.7,83.557,96.29,125
2009년 12월 18일,658.9,2211.7,10328.89,1647.84,0.269,89.7,83.557,96.29,125
2009년 12월 21일,658.9,2237.7,10414.14,1647.04,0.269,89.7,83.557,96.29,125
2009년 12월 22일,658.9,2252.7,10464.93,1644.23,0.269,89.7,83.557,96.29,125
2009년 12월 23일,658.9,2269.6,10466.44,1655.54,0.269,89.7,83.557,96.29,125
2009년 12월 24일,658.9,2285.7,10520.1,1661.35,0.269,89.7,83.557,96.29,125
2009년 12월 28일,658.9,2291.1,10547.08,1682.34,0.269,89.7,83.557,96.29,125
2009년 12월 29일,658.9,2288.4,10545.41,1685.59,0.269,89.7,83.557,96.29,125
2009년 12월 30일,658.9,2291.3,10548.51,1672.48,0.269,89.7,83.557,96.29,125
2009년 12월 31일,658.9,2269.1,10428.05,1682.77,0.269,89.7,83.557,96.29,125
2010년 01월 04일,681.5,2308.4,10583.96,1696.14,0.247,90,84.055,96.71,157
2010년 01월 05일,681.5,2308.7,10572.02,1696.14,0.247,90,84.055,96.71,157
2010년 01월 06일,681.5,2301.1,10573.68,1690.62,0.247,90,84.055,96.71,157
2010년 01월 07일,681.5,2300.1,10606.86,1705.32,0.247,90,84.055,96.71,157
2010년 01월 08일,681.5,2317.2,10618.19,1683.45,0.247,90,84.055,96.71,157
2010년 01월 11일,681.5,2312.4,10663.99,1695.26,0.247,90,84.055,96.71,157
2010년 01월 12일,681.5,2282.3,10627.26,1694.12,0.247,90,84.055,96.71,157
2010년 01월 13일,681.5,2307.9,10680.77,1698.64,0.247,90,84.055,96.71,157
2010년 01월 14일,681.5,2316.7,10710.55,1671.41,0.247,90,84.055,96.71,157
2010년 01월 15일,681.5,2288,10609.65,1685.77,0.247,90,84.055,96.71,157
2010년 01월 19일,681.5,2320.4,10725.43,1701.8,0.247,90,84.055,96.71,157
2010년 01월 20일,681.5,2291.3,10603.15,1711.78,0.247,90,84.055,96.71,157
2010년 01월 21일,681.5,2265.7,10389.88,1710.22,0.247,90,84.055,96.71,157
2010년 01월 22일,681.5,2205.3,10172.98,1714.38,0.247,90,84.055,96.71,157
2010년 01월 25일,681.5,2210.8,10196.86,1722.01,0.247,90,84.055,96.71,157
2010년 01월 26일,681.5,2203.7,10194.29,1684.35,0.247,90,84.055,96.71,157
2010년 01월 27일,681.5,2221.4,10236.16,1670.2,0.247,90,84.055,96.71,157
2010년 01월 28일,681.5,2179,10120.46,1637.34,0.247,90,84.055,96.71,157
2010년 01월 29일,681.5,2147.4,10067.33,1625.48,0.247,90,84.055,96.71,157
2010년 02월 01일,619,2171.2,10185.53,1642.43,0.259,90.8,84.225,96.88,136
2010년 02월 02일,619,2190.1,10296.85,1602.43,0.259,90.8,84.225,96.88,136
2010년 02월 03일,619,2190.9,10270.55,1606.44,0.259,90.8,84.225,96.88,136
2010년 02월 04일,619,2125.4,10002.18,1595.81,0.259,90.8,84.225,96.88,136
2010년 02월 05일,619,2141.1,10012.23,1615.02,0.259,90.8,84.225,96.88,136
2010년 02월 08일,619,2126.1,9908.39,1616.42,0.259,90.8,84.225,96.88,136
2010년 02월 09일,619,2150.9,10058.64,1567.12,0.259,90.8,84.225,96.88,136
2010년 02월 10일,619,2147.9,10038.38,1552.79,0.259,90.8,84.225,96.88,136
2010년 02월 11일,619,2177.4,10144.19,1570.49,0.259,90.8,84.225,96.88,136
2010년 02월 12일,619,2183.5,10099.14,1570.12,0.259,90.8,84.225,96.88,136
2010년 02월 16일,619,2214.2,10268.81,1597.81,0.259,90.8,84.225,96.88,136
2010년 02월 17일,619,2226.3,10309.24,1593.66,0.259,90.8,84.225,96.88,136
2010년 02월 18일,619,2241.7,10392.9,1601.05,0.259,90.8,84.225,96.88,136
2010년 02월 19일,619,2243.9,10402.35,1627.43,0.259,90.8,84.225,96.88,136
2010년 02월 22일,619,2242,10383.38,1621.19,0.259,90.8,84.225,96.88,136
2010년 02월 23일,619,2213.4,10282.41,1593.9,0.259,90.8,84.225,96.88,136
2010년 02월 24일,619,2235.9,10374.16,1627.1,0.259,90.8,84.225,96.88,136
2010년 02월 25일,619,2234.2,10321.03,1628.9,0.259,90.8,84.225,96.88,136
2010년 02월 26일,619,2238.3,10325.26,1612.83,0.259,90.8,84.225,96.88,136
2010년 03월 01일,586.2,2273.6,10403.79,1587.51,0.21,91.2,84.566,97.33,125
2010년 03월 02일,586.2,2280.8,10405.98,1594.58,0.21,91.2,84.566,97.33,125
2010년 03월 03일,586.2,2280.7,10396.76,1615.12,0.21,91.2,84.566,97.33,125
2010년 03월 04일,586.2,2292.3,10444.14,1622.44,0.21,91.2,84.566,97.33,125
2010년 03월 05일,586.2,2326.4,10566.2,1618.2,0.21,91.2,84.566,97.33,125
2010년 03월 08일,586.2,2332.2,10552.52,1634.57,0.21,91.2,84.566,97.33,125
2010년 03월 09일,586.2,2340.7,10564.38,1660.04,0.21,91.2,84.566,97.33,125
2010년 03월 10일,586.2,2358.9,10567.33,1660.83,0.21,91.2,84.566,97.33,125
2010년 03월 11일,586.2,2368.5,10611.84,1662.24,0.21,91.2,84.566,97.33,125
2010년 03월 12일,586.2,2367.7,10624.69,1656.62,0.21,91.2,84.566,97.33,125
2010년 03월 15일,586.2,2362.2,10642.15,1662.74,0.21,91.2,84.566,97.33,125
2010년 03월 16일,586.2,2378,10685.98,1649.5,0.21,91.2,84.566,97.33,125
2010년 03월 17일,586.2,2389.1,10733.67,1648.01,0.21,91.2,84.566,97.33,125
2010년 03월 18일,586.2,2391.3,10779.17,1682.86,0.21,91.2,84.566,97.33,125
2010년 03월 19일,586.2,2374.4,10741.98,1675.17,0.21,91.2,84.566,97.33,125
2010년 03월 22일,586.2,2395.4,10785.89,1686.11,0.21,91.2,84.566,97.33,125
2010년 03월 23일,586.2,2415.2,10888.83,1672.67,0.21,91.2,84.566,97.33,125
2010년 03월 24일,586.2,2398.8,10836.15,1681.82,0.21,91.2,84.566,97.33,125
2010년 03월 25일,586.2,2397.4,10841.21,1681.01,0.21,91.2,84.566,97.33,125
2010년 03월 26일,586.2,2395.1,10850.36,1688.39,0.21,91.2,84.566,97.33,125
2010년 03월 29일,586.2,2404.4,10895.86,1697.72,0.21,91.2,84.566,97.33,125
2010년 03월 30일,586.2,2410.7,10907.42,1691.99,0.21,91.2,84.566,97.33,125
2010년 03월 31일,586.2,2398,10856.63,1700.19,0.21,91.2,84.566,97.33,125
2010년 04월 01일,566.7,2402.6,10927.07,1692.85,0.052,91.8,84.906,98.04,87
2010년 04월 05일,566.7,2429.5,10973.55,1719.17,0.052,91.8,84.906,98.04,87
2010년 04월 06일,566.7,2436.8,10969.99,1723.49,0.052,91.8,84.906,98.04,87
2010년 04월 07일,566.7,2431.2,10897.52,1724.99,0.052,91.8,84.906,98.04,87
2010년 04월 08일,566.7,2436.8,10927.07,1726.09,0.052,91.8,84.906,98.04,87
2010년 04월 09일,566.7,2454.1,10997.35,1726.6,0.052,91.8,84.906,98.04,87
2010년 04월 12일,566.7,2457.9,11005.97,1733.78,0.052,91.8,84.906,98.04,87
2010년 04월 13일,566.7,2466,11019.42,1724.47,0.052,91.8,84.906,98.04,87
2010년 04월 14일,566.7,2504.9,11123.11,1710.3,0.052,91.8,84.906,98.04,87
2010년 04월 15일,566.7,2515.7,11144.57,1710.59,0.052,91.8,84.906,98.04,87
2010년 04월 16일,566.7,2481.3,11018.66,1735.33,0.052,91.8,84.906,98.04,87
2010년 04월 19일,566.7,2480.1,11092.05,1743.91,0.052,91.8,84.906,98.04,87
2010년 04월 20일,566.7,2500.3,11117.06,1734.49,0.052,91.8,84.906,98.04,87
2010년 04월 21일,566.7,2504.6,11124.92,1705.3,0.052,91.8,84.906,98.04,87
2010년 04월 22일,566.7,2519.1,11134.29,1718.03,0.052,91.8,84.906,98.04,87
2010년 04월 23일,566.7,2530.1,11204.28,1747.58,0.052,91.8,84.906,98.04,87
2010년 04월 26일,566.7,2522.9,11205.03,1739.52,0.052,91.8,84.906,98.04,87
2010년 04월 27일,566.7,2471.5,10991.99,1737.03,0.052,91.8,84.906,98.04,87
2010년 04월 28일,566.7,2471.7,11045.27,1752.2,0.052,91.8,84.906,98.04,87
2010년 04월 29일,566.7,2511.9,11167.32,1749.55,0.052,91.8,84.906,98.04,87
2010년 04월 30일,566.7,2461.2,11008.61,1733.91,0.052,91.8,84.906,98.04,87
2010년 05월 03일,588.3,2498.7,11151.83,1728.42,0.004,92.3,84.906,98.87,69
2010년 05월 04일,588.3,2424.3,10926.77,1741.56,0.004,92.3,84.906,98.87,69
2010년 05월 05일,588.3,2402.3,10868.12,1721.21,0.004,92.3,84.906,98.87,69
2010년 05월 06일,588.3,2319.6,10520.32,1718.75,0.004,92.3,84.906,98.87,69
2010년 05월 07일,588.3,2265.6,10380.43,1684.71,0.004,92.3,84.906,98.87,69
2010년 05월 10일,588.3,2374.7,10785.14,1647.5,0.004,92.3,84.906,98.87,69
2010년 05월 11일,588.3,2375.3,10748.26,1677.63,0.004,92.3,84.906,98.87,69
2010년 05월 12일,588.3,2425,10896.91,1670.24,0.004,92.3,84.906,98.87,69
2010년 05월 13일,588.3,2394.4,10782.95,1663.03,0.004,92.3,84.906,98.87,69
2010년 05월 14일,588.3,2346.9,10620.16,1694.58,0.004,92.3,84.906,98.87,69
2010년 05월 17일,588.3,2354.2,10625.83,1695.63,0.004,92.3,84.906,98.87,69
2010년 05월 18일,588.3,2317.3,10510.95,1651.51,0.004,92.3,84.906,98.87,69
2010년 05월 19일,588.3,2298.4,10444.37,1643.24,0.004,92.3,84.906,98.87,69
2010년 05월 20일,588.3,2204,10068.01,1630.08,0.004,92.3,84.906,98.87,69
2010년 05월 21일,588.3,2229,10193.39,1600.18,0.004,92.3,84.906,98.87,69
2010년 05월 24일,588.3,2213.6,10066.57,1604.93,0.004,92.3,84.906,98.87,69
2010년 05월 25일,588.3,2210.9,10043.75,1560.83,0.004,92.3,84.906,98.87,69
2010년 05월 26일,588.3,2195.9,9974.45,1582.12,0.004,92.3,84.906,98.87,69
2010년 05월 27일,588.3,2277.7,10258.99,1607.5,0.004,92.3,84.906,98.87,69
2010년 05월 28일,588.3,2257,10136.63,1622.78,0.004,92.3,84.906,98.87,69
2010년 06월 01일,598.4,2222.3,10024.02,1641.25,-0.032,92.9,84.736,98.98,69
2010년 06월 02일,598.4,2281.1,10249.54,1630.4,-0.032,92.9,84.736,98.98,69
2010년 06월 03일,598.4,2303,10255.28,1661.84,-0.032,92.9,84.736,98.98,69
2010년 06월 04일,598.4,2219.2,9931.97,1664.13,-0.032,92.9,84.736,98.98,69
2010년 06월 07일,598.4,2173.9,9816.49,1637.97,-0.032,92.9,84.736,98.98,69
2010년 06월 08일,598.4,2170.6,9939.98,1651.48,-0.032,92.9,84.736,98.98,69
2010년 06월 09일,598.4,2158.9,9899.25,1647.22,-0.032,92.9,84.736,98.98,69
2010년 06월 10일,598.4,2218.7,10172.53,1651.7,-0.032,92.9,84.736,98.98,69
2010년 06월 11일,598.4,2243.6,10211.07,1675.34,-0.032,92.9,84.736,98.98,69
2010년 06월 14일,598.4,2244,10190.89,1690.6,-0.032,92.9,84.736,98.98,69
2010년 06월 15일,598.4,2305.9,10404.77,1690.03,-0.032,92.9,84.736,98.98,69
2010년 06월 16일,598.4,2305.9,10409.46,1705.33,-0.032,92.9,84.736,98.98,69
2010년 06월 17일,598.4,2307.2,10434.17,1707.92,-0.032,92.9,84.736,98.98,69
2010년 06월 18일,598.4,2309.8,10450.64,1711.95,-0.032,92.9,84.736,98.98,69
2010년 06월 21일,598.4,2289.1,10442.41,1739.68,-0.032,92.9,84.736,98.98,69
2010년 06월 22일,598.4,2261.8,10293.52,1731.48,-0.032,92.9,84.736,98.98,69
2010년 06월 23일,598.4,2254.2,10298.44,1725.82,-0.032,92.9,84.736,98.98,69
2010년 06월 24일,598.4,2217.4,10152.8,1739.87,-0.032,92.9,84.736,98.98,69
2010년 06월 25일,598.4,2223.5,10143.81,1729.84,-0.032,92.9,84.736,98.98,69
2010년 06월 28일,598.4,2220.6,10138.52,1732.03,-0.032,92.9,84.736,98.98,69
2010년 06월 29일,598.4,2135.2,9870.3,1707.76,-0.032,92.9,84.736,98.98,69
2010년 06월 30일,598.4,2109.2,9774.02,1698.29,-0.032,92.9,84.736,98.98,69
2010년 07월 01일,593.9,2101.4,9732.53,1686.24,-0.065,93.2,84.991,99.23,71
2010년 07월 02일,593.9,2091.8,9686.48,1671.82,-0.065,93.2,84.991,99.23,71
2010년 07월 06일,593.9,2093.9,9743.62,1675.37,-0.065,93.2,84.991,99.23,71
2010년 07월 07일,593.9,2159.5,10018.28,1684.94,-0.065,93.2,84.991,99.23,71
2010년 07월 08일,593.9,2175.4,10138.99,1675.65,-0.065,93.2,84.991,99.23,71
2010년 07월 09일,593.9,2196.4,10198.03,1698.64,-0.065,93.2,84.991,99.23,71
2010년 07월 12일,593.9,2198.4,10216.27,1723.01,-0.065,93.2,84.991,99.23,71
2010년 07월 13일,593.9,2242,10363.02,1734.05,-0.065,93.2,84.991,99.23,71
2010년 07월 14일,593.9,2249.8,10366.72,1735.08,-0.065,93.2,84.991,99.23,71
2010년 07월 15일,593.9,2249.1,10359.31,1758.01,-0.065,93.2,84.991,99.23,71
2010년 07월 16일,593.9,2179.1,10097.9,1751.29,-0.065,93.2,84.991,99.23,71
2010년 07월 19일,593.9,2198.2,10154.43,1738.45,-0.065,93.2,84.991,99.23,71
2010년 07월 20일,593.9,2222.5,10229.96,1731.95,-0.065,93.2,84.991,99.23,71
2010년 07월 21일,593.9,2187.3,10120.53,1736.77,-0.065,93.2,84.991,99.23,71
2010년 07월 22일,593.9,2245.9,10322.3,1748.78,-0.065,93.2,84.991,99.23,71
2010년 07월 23일,593.9,2269.5,10424.62,1735.53,-0.065,93.2,84.991,99.23,71
2010년 07월 26일,593.9,2296.4,10525.43,1758.06,-0.065,93.2,84.991,99.23,71
2010년 07월 27일,593.9,2288.3,10537.69,1769.07,-0.065,93.2,84.991,99.23,71
2010년 07월 28일,593.9,2264.6,10497.88,1768.31,-0.065,93.2,84.991,99.23,71
2010년 07월 29일,593.9,2251.7,10467.16,1773.47,-0.065,93.2,84.991,99.23,71
2010년 07월 30일,593.9,2254.7,10465.94,1770.88,-0.065,93.2,84.991,99.23,71
2010년 08월 02일,583.6,2295.4,10674.38,1759.33,-0.053,92.6,85.417,99.53,71
2010년 08월 03일,583.6,2283.5,10636.38,1782.27,-0.053,92.6,85.417,99.53,71
2010년 08월 04일,583.6,2303.6,10680.43,1790.6,-0.053,92.6,85.417,99.53,71
2010년 08월 05일,583.6,2293.1,10674.98,1789.26,-0.053,92.6,85.417,99.53,71
2010년 08월 06일,583.6,2288.5,10653.56,1783.86,-0.053,92.6,85.417,99.53,71
2010년 08월 09일,583.6,2305.7,10698.75,1783.83,-0.053,92.6,85.417,99.53,71
2010년 08월 10일,583.6,2277.2,10644.25,1790.17,-0.053,92.6,85.417,99.53,71
2010년 08월 11일,583.6,2208.6,10378.83,1781.13,-0.053,92.6,85.417,99.53,71
2010년 08월 12일,583.6,2190.3,10319.95,1758.19,-0.053,92.6,85.417,99.53,71
2010년 08월 13일,583.6,2173.5,10303.15,1721.75,-0.053,92.6,85.417,99.53,71
2010년 08월 16일,583.6,2181.9,10302.01,1746.24,-0.053,92.6,85.417,99.53,71
2010년 08월 17일,583.6,2209.4,10405.85,1743.31,-0.053,92.6,85.417,99.53,71
2010년 08월 18일,583.6,2215.7,10415.54,1755.03,-0.053,92.6,85.417,99.53,71
2010년 08월 19일,583.6,2178.9,10271.21,1761.99,-0.053,92.6,85.417,99.53,71
2010년 08월 20일,583.6,2179.8,10213.62,1779.64,-0.053,92.6,85.417,99.53,71
2010년 08월 23일,583.6,2159.6,10174.41,1775.54,-0.053,92.6,85.417,99.53,71
2010년 08월 24일,583.6,2123.8,10040.45,1767.71,-0.053,92.6,85.417,99.53,71
2010년 08월 25일,583.6,2141.5,10060.06,1760.53,-0.053,92.6,85.417,99.53,71
2010년 08월 26일,583.6,2118.7,9985.81,1734.79,-0.053,92.6,85.417,99.53,71
2010년 08월 27일,583.6,2153.6,10150.65,1729.76,-0.053,92.6,85.417,99.53,71
2010년 08월 30일,583.6,2120,10009.73,1729.56,-0.053,92.6,85.417,99.53,71
2010년 08월 31일,583.6,2114,10014.72,1760.13,-0.053,92.6,85.417,99.53,71
2010년 09월 01일,583.6,2176.8,10269.47,1742.75,-0.134,92.8,86.183,100.1,93
2010년 09월 02일,583.6,2200,10320.1,1764.69,-0.134,92.8,86.183,100.1,93
2010년 09월 03일,583.6,2233.8,10447.93,1775.73,-0.134,92.8,86.183,100.1,93
2010년 09월 07일,583.6,2208.9,10340.69,1780.02,-0.134,92.8,86.183,100.1,93
2010년 09월 08일,583.6,2228.9,10387.01,1792.42,-0.134,92.8,86.183,100.1,93
2010년 09월 09일,583.6,2236.2,10415.24,1787.74,-0.134,92.8,86.183,100.1,93
2010년 09월 10일,583.6,2242.5,10462.77,1779.22,-0.134,92.8,86.183,100.1,93
2010년 09월 13일,583.6,2285.7,10544.13,1784.36,-0.134,92.8,86.183,100.1,93
2010년 09월 14일,583.6,2289.8,10526.49,1802.58,-0.134,92.8,86.183,100.1,93
2010년 09월 15일,583.6,2301.3,10572.73,1818.86,-0.134,92.8,86.183,100.1,93
2010년 09월 16일,583.6,2303.3,10594.83,1815.25,-0.134,92.8,86.183,100.1,93
2010년 09월 17일,583.6,2315.6,10607.85,1823.88,-0.134,92.8,86.183,100.1,93
2010년 09월 20일,583.6,2355.8,10753.62,1811.85,-0.134,92.8,86.183,100.1,93
2010년 09월 21일,583.6,2349.4,10761.03,1827.35,-0.134,92.8,86.183,100.1,93
2010년 09월 22일,583.6,2334.6,10739.31,1832.63,-0.134,92.8,86.183,100.1,93
2010년 09월 23일,583.6,2327.1,10662.42,1846.6,-0.134,92.8,86.183,100.1,93
2010년 09월 24일,583.6,2381.2,10860.26,1860.83,-0.134,92.8,86.183,100.1,93
2010년 09월 27일,583.6,2369.8,10812.04,1855.97,-0.134,92.8,86.183,100.1,93
2010년 09월 28일,583.6,2379.6,10858.14,1866.45,-0.134,92.8,86.183,100.1,93
2010년 09월 29일,583.6,2376.6,10835.28,1872.81,-0.134,92.8,86.183,100.1,93
2010년 09월 30일,583.6,2368.6,10788.05,1876.73,-0.134,92.8,86.183,100.1,93
2010년 10월 01일,602.2,2370.8,10829.68,1879.29,-0.133,93.2,86.183,100.47,158
2010년 10월 04일,602.2,2344.5,10751.27,1878.94,-0.133,93.2,86.183,100.47,158
2010년 10월 05일,602.2,2399.8,10944.72,1903.95,-0.133,93.2,86.183,100.47,158
2010년 10월 06일,602.2,2380.7,10967.65,1900.85,-0.133,93.2,86.183,100.47,158
2010년 10월 07일,602.2,2383.7,10948.58,1897.07,-0.133,93.2,86.183,100.47,158
2010년 10월 08일,602.2,2401.9,11006.48,1889.91,-0.133,93.2,86.183,100.47,158
2010년 10월 11일,602.2,2402.3,11010.34,1868.04,-0.133,93.2,86.183,100.47,158
2010년 10월 12일,602.2,2417.9,11020.4,1876.15,-0.133,93.2,86.183,100.47,158
2010년 10월 13일,602.2,2441.2,11096.08,1899.76,-0.133,93.2,86.183,100.47,158
2010년 10월 14일,602.2,2435.4,11094.57,1902.29,-0.133,93.2,86.183,100.47,158
2010년 10월 15일,602.2,2468.8,11062.78,1875.42,-0.133,93.2,86.183,100.47,158
2010년 10월 18일,602.2,2480.7,11143.69,1857.32,-0.133,93.2,86.183,100.47,158
2010년 10월 19일,602.2,2436.9,10978.62,1870.44,-0.133,93.2,86.183,100.47,158
2010년 10월 20일,602.2,2457.4,11107.97,1874.69,-0.133,93.2,86.183,100.47,158
2010년 10월 21일,602.2,2459.7,11146.57,1897.31,-0.133,93.2,86.183,100.47,158
2010년 10월 22일,602.2,2479.4,11132.56,1915.71,-0.133,93.2,86.183,100.47,158
2010년 10월 25일,602.2,2490.9,11164.05,1919.41,-0.133,93.2,86.183,100.47,158
2010년 10월 26일,602.2,2497.3,11169.46,1909.54,-0.133,93.2,86.183,100.47,158
2010년 10월 27일,602.2,2503.3,11126.28,1907.87,-0.133,93.2,86.183,100.47,158
2010년 10월 28일,602.2,2507.4,11113.95,1882.95,-0.133,93.2,86.183,100.47,158
2010년 10월 29일,602.2,2507.4,11118.49,1914.74,-0.133,93.2,86.183,100.47,158
2010년 11월 01일,644.2,2504.8,11124.62,1918.04,0.02,94.2,85.758,100.82,206
2010년 11월 02일,644.2,2533.5,11188.72,1935.97,0.02,94.2,85.758,100.82,206
2010년 11월 03일,644.2,2540.3,11215.13,1942.5,0.02,94.2,85.758,100.82,206
2010년 11월 04일,644.2,2577.3,11434.84,1938.96,0.02,94.2,85.758,100.82,206
2010년 11월 05일,644.2,2579,11444.08,1942.41,0.02,94.2,85.758,100.82,206
2010년 11월 08일,644.2,2580.1,11406.84,1947.46,0.02,94.2,85.758,100.82,206
2010년 11월 09일,644.2,2563,11346.75,1967.85,0.02,94.2,85.758,100.82,206
2010년 11월 10일,644.2,2578.8,11357.04,1914.73,0.02,94.2,85.758,100.82,206
2010년 11월 11일,644.2,2555.5,11283.1,1913.12,0.02,94.2,85.758,100.82,206
2010년 11월 12일,644.2,2518.2,11192.58,1913.81,0.02,94.2,85.758,100.82,206
2010년 11월 15일,644.2,2513.8,11201.97,1899.13,0.02,94.2,85.758,100.82,206
2010년 11월 16일,644.2,2469.8,11023.5,1897.11,0.02,94.2,85.758,100.82,206
2010년 11월 17일,644.2,2476,11007.88,1927.86,0.02,94.2,85.758,100.82,206
2010년 11월 18일,644.2,2514.4,11181.23,1940.96,0.02,94.2,85.758,100.82,206
2010년 11월 19일,644.2,2518.1,11203.55,1944.34,0.02,94.2,85.758,100.82,206
2010년 11월 22일,644.2,2532,11178.58,1928.94,0.02,94.2,85.758,100.82,206
2010년 11월 23일,644.2,2494.9,11036.37,1925.98,0.02,94.2,85.758,100.82,206
2010년 11월 24일,644.2,2543.1,11187.28,1927.68,0.02,94.2,85.758,100.82,206
2010년 11월 26일,644.2,2534.6,11092,1901.8,0.02,94.2,85.758,100.82,206
2010년 11월 29일,644.2,2525.2,11052.49,1895.54,0.02,94.2,85.758,100.82,206
2010년 11월 30일,644.2,2498.2,11006.02,1904.63,0.02,94.2,85.758,100.82,206
2010년 12월 01일,647.8,2549.4,11255.78,1929.32,0.153,95.1,86.013,101.75,209
2010년 12월 02일,647.8,2579.4,11362.41,1950.26,0.153,95.1,86.013,101.75,209
2010년 12월 03일,647.8,2591.5,11382.09,1957.26,0.153,95.1,86.013,101.75,209
2010년 12월 06일,647.8,2594.9,11362.19,1953.64,0.153,95.1,86.013,101.75,209
2010년 12월 07일,647.8,2598.5,11359.16,1962.52,0.153,95.1,86.013,101.75,209
2010년 12월 08일,647.8,2609.2,11372.48,1955.72,0.153,95.1,86.013,101.75,209
2010년 12월 09일,647.8,2616.7,11370.06,1988.96,0.153,95.1,86.013,101.75,209
2010년 12월 10일,647.8,2637.5,11410.32,1986.14,0.153,95.1,86.013,101.75,209
2010년 12월 13일,647.8,2624.9,11428.56,1996.59,0.153,95.1,86.013,101.75,209
2010년 12월 14일,647.8,2627.7,11476.54,2009.05,0.153,95.1,86.013,101.75,209
2010년 12월 15일,647.8,2617.2,11457.47,2017.48,0.153,95.1,86.013,101.75,209
2010년 12월 16일,647.8,2637.3,11499.25,2009.24,0.153,95.1,86.013,101.75,209
2010년 12월 17일,647.8,2643,11491.91,2026.3,0.153,95.1,86.013,101.75,209
2010년 12월 20일,647.8,2649.6,11478.13,2020.28,0.153,95.1,86.013,101.75,209
2010년 12월 21일,647.8,2667.6,11533.16,2037.09,0.153,95.1,86.013,101.75,209
2010년 12월 22일,647.8,2671.5,11559.49,2038.11,0.153,95.1,86.013,101.75,209
2010년 12월 23일,647.8,2665.6,11573.49,2037.53,0.153,95.1,86.013,101.75,209
2010년 12월 27일,647.8,2667.3,11555.03,2029.6,0.153,95.1,86.013,101.75,209
2010년 12월 28일,647.8,2662.9,11575.54,2022.19,0.153,95.1,86.013,101.75,209
2010년 12월 29일,647.8,2666.9,11585.38,2033.32,0.153,95.1,86.013,101.75,209
2010년 12월 30일,647.8,2663,11569.71,2043.49,0.153,95.1,86.013,101.75,209
2010년 12월 31일,647.8,2652.9,11577.51,2051,0.153,95.1,86.013,101.75,231
2011년 01월 03일,611.7,2691.5,11670.75,2070.08,0.122,96.7,86.95,103.32,231
2011년 01월 04일,611.7,2681.3,11691.18,2070.08,0.122,96.7,86.95,103.32,231
2011년 01월 05일,611.7,2702.2,11722.89,2070.08,0.122,96.7,86.95,103.32,231
2011년 01월 06일,611.7,2709.9,11697.31,2070.08,0.122,96.7,86.95,103.32,231
2011년 01월 07일,611.7,2703.2,11674.76,2070.08,0.122,96.7,86.95,103.32,231
2011년 01월 10일,611.7,2707.8,11637.45,2085.14,0.122,96.7,86.95,103.32,231
2011년 01월 11일,611.7,2716.8,11671.88,2082.55,0.122,96.7,86.95,103.32,231
2011년 01월 12일,611.7,2737.3,11755.44,2077.61,0.122,96.7,86.95,103.32,231
2011년 01월 13일,611.7,2735.3,11731.9,2086.2,0.122,96.7,86.95,103.32,231
2011년 01월 14일,611.7,2755.3,11787.38,2080.81,0.122,96.7,86.95,103.32,231
2011년 01월 18일,611.7,2765.9,11837.93,2088.32,0.122,96.7,86.95,103.32,231
2011년 01월 19일,611.7,2725.4,11825.29,2094.95,0.122,96.7,86.95,103.32,231
2011년 01월 20일,611.7,2704.3,11822.8,2089.48,0.122,96.7,86.95,103.32,231
2011년 01월 21일,611.7,2689.5,11871.84,2108.17,0.122,96.7,86.95,103.32,231
